
Results of the calculations presented in the figures and tables of 
"Structure of even-even nuclei using a mapped collective Hamiltonian and the D1S Gogny interaction",
J.-P. Delaroche, M.Girod, J.Libert, H.Goutte, S.Hilaire, S.Péru, N.Pillet, and G.F.Bertsch, 
submitted for publication to Phys.Rev.C (2009), are tabulated below.
The table is also posted on the EPAPS repository, Document No.[??????????].
The quantities tabulated are listed by column.
The figures and tables that make use of the various quantities are also indicated.


	Entries 							Notations			Tables 				Figures
1. Proton number 							Z
2. Neutron number 							N
3. HFB energy minimum (MeV)						EHFB 				III		 		8,9
4. beta deformation at HFB energy minimum       			BMIN 								3a, 4
5. gamma deformation (degree) at HFB energy minimum 			GMIN 								3a
6. Charge radius (fm) at HFB energy minimum 	 			RCHFB				II 				6,7
7. Point proton radius (fm) at HFB energy minimum 	 			RPHFB
8. Neutron radius(fm) at HFB energy minimum 	 			RNHFB
9. CHFB+5DCH ground state energy (MeV)	 				EABS 				III 				8,9
10. Correlation energy (MeV)	 					ECORR 								8
11. Mean ground state beta deformation  				BET01 								3b, 4, 5
12. Mean ground state gamma deformation (degree) 			GAM01 								3b, 4, 5
13. Variance of ground state beta deformation 	 			DELB01 								5
14. Variance of ground state gamma deformation (degree)  		DELG01 								5
15. Yrast 2^+ state energy (MeV) 					E21 				IV 				10, 11, 12, 22
16. Yrast 4^+ state energy (MeV) 					E41 				IV 				10, 11, 12, 13, 14, 15, 21, 22
17. Yrast 6^+ state energy (MeV) 					E61 				IV 				10, 11, 13, 14, 15
18. First 0^+ excited state energy (MeV) 				E02 				IV 				20, 21, 22
19. Second 2^+ excited state energy (MeV) 				E22 				IV 				18,19
20. Third 2^+ excited state energy (MeV) 				E23 								18, 19, 26
21. P(K=0) for yrast 2^+ state (%) 					P(K=0,2_1)
22. P(K=2) for second 2^+ excited state (%) 				P(K=2,2_2) 							16,17
23. P(K=2) for third 2^+ excited state (%) 				P(K=2,2_3) 							17
24. B(E2; 2^+_1 --> 0^+_1) ( e**2 b**2) 				B(E2;2_1-0_1) 			I, IV 				10,11
25. B(E2; 2^+_3 --> 0^+_1) (e**2 b**2) 					B(E2;2_3-0_1) 			I 				23,24
26. B(E2; 2^+_1 --> 0^+_2) (e**2 b**2) 					B(E2;2_1-0_2) 			I				23,24
27. B(E2; 4^+_1 --> 2^+_1) (e**2 b**2) 					B(E2;4_1-2_1) 			I 				14
28. B(E2; 2^+_3 --> 2^+_1) (e**2 b**2) 					B(E2;2_3-2_1) 			I 				23,24
29. B(E2; 2^+_3 -->0^+_2) (e**2 b**2) 					B(E2;2_3-0_2) 			I 				26
30. CHFB+5DCH charge radius (fm)  					RC5DCH 								6,7
31. CHFB+5DCH point proton radius (fm) 					RP5DCH
32. CHFB+5DCH neutron radius (fm) 					RN5DCH
33. CHFB+5DCH squred E0 matrix element			 		ROE0TH 				IV			 	25
34. For each Z : Neutron number at 5DCH proton drip-line  		NMIN
35. For each Z : Neutron number at 5DCH neutron drip-line   		NMAX

   Z   N         EHFB      BMIN      GMIN     RCHFB   RPHFB   RNHFB        EABS         ECORR     BET01     GAM01    DELB01      DELG01    E21    E41     E61     E02     E22      E23         P(K=0,2_1)      P(K=2,2_2)      P(K=2,2_3)    B(E2;2_1-0_1)    B(E2;2_3-0_1)     B(E2;2_1-0_2)     B(E2;4_1-2_1)     B(E2;2_3-2_1)     B(E2;2_3-0_2)   RC5DCH   RP5DCH   RN5DCH      ROE0TH            NMIN  NMAX
  14  10       -169.931    0.229       47.    3.13    3.07    2.86       -177.096       -7.165    0.402       27.     0.085         13.   3.119   7.806  14.053  11.368   6.977  17.442            0.67            0.63            0.31      0.525965E+02      0.455268E+00      0.176208E+01      0.799453E+02      0.286825E-04      0.394195E+02     3.20     3.15     2.93     -0.253E+00         10     30
  14  12       -202.308    0.324       60.    3.15    3.09    2.98       -210.001       -7.693    0.414       28.     0.081         13.   2.426   6.119  11.193   8.146   5.124  12.870            0.68            0.62            0.36      0.619401E+02      0.248744E+00      0.333597E+00      0.925552E+02      0.808414E-03      0.481120E+02     3.19     3.13     3.03     -0.145E+00         10     30
  14  14       -231.580    0.370       60.    3.17    3.12    3.08       -239.136       -7.556    0.405       27.     0.087         11.   2.469   6.446  11.876  10.591   7.395  16.405            0.42            0.35            0.52      0.565074E+02      0.179006E+01      0.390041E+01      0.877641E+02      0.463715E-01      0.363286E+02     3.20     3.14     3.11      0.218E+00         10     30
  14  16       -251.642    0.000        0.    3.10    3.04    3.08       -257.381       -5.739    0.398       29.     0.090         13.   2.222   5.691  10.409   7.610   4.729  11.832            0.62            0.57            0.33      0.691863E+02      0.667111E+00      0.441861E+01      0.107119E+03      0.738133E-01      0.487941E+02     3.23     3.18     3.21      0.244E+00         10     30
  14  18       -267.571    0.010       34.    3.15    3.10    3.21       -272.407       -4.836    0.371       28.     0.093         13.   2.215   5.470   9.785   5.318   5.014   9.335            0.54            0.49            0.46      0.645028E+02      0.560595E+00      0.927400E+01      0.106295E+03      0.516109E-01      0.393797E+02     3.25     3.20     3.30     -0.228E+00         10     30
  14  20       -281.138    0.000        0.    3.20    3.15    3.31       -284.132       -2.994    0.345       29.     0.072         13.   2.072   4.964   8.834   6.401   4.607  10.707            0.56            0.52            0.35      0.606636E+02      0.299308E+00      0.548533E+01      0.956322E+02      0.551738E-01      0.388697E+02     3.26     3.21     3.38     -0.132E+00         10     30
  14  22       -289.193    0.000        0.    3.21    3.16    3.39       -293.636       -4.443    0.377       28.     0.093         13.   1.650   4.018   7.143   4.215   3.399   7.423            0.74            0.70            0.28      0.821783E+02      0.310395E+00      0.934785E+01      0.131915E+03      0.210439E+00      0.465690E+02     3.30     3.25     3.48      0.186E+00         10     30
  14  24       -296.124    0.285        0.    3.27    3.23    3.51       -302.122       -5.998    0.351       28.     0.074         13.   1.552   3.936   7.123   4.983   3.349   7.830            0.75            0.70            0.35      0.749576E+02      0.305878E+00      0.217267E+01      0.113738E+03      0.786842E-01      0.560729E+02     3.31     3.26     3.55     -0.106E+00         10     30
  14  26       -302.178    0.277       62.    3.30    3.26    3.59       -307.782       -5.604    0.392       29.     0.087         13.   1.161   3.030   5.666   3.246   2.400   5.330            0.58            0.50            0.63      0.967186E+02      0.104973E+01      0.290188E+01      0.147157E+03      0.184278E-02      0.712546E+02     3.35     3.31     3.65     -0.111E+00         10     30
  14  28       -308.149    0.332       60.    3.34    3.30    3.68       -311.728       -3.579    0.375       33.     0.089         12.   1.070   2.887   5.452   3.438   2.988   5.859            0.38            0.26            0.67      0.884723E+02      0.294789E+01      0.546233E+01      0.139240E+03      0.165168E-01      0.514694E+02     3.36     3.32     3.74     -0.117E+00         10     30
