A   Z  EHFB    BMIN
182 60 -1337.389 0.080
184 60 -1342.080 0.000
186 60 -1346.678 0.000
188 60 -1344.880 0.000
190 60 -1342.911 0.000
192 60 -1340.906 0.084
194 60 -1338.850 0.121
196 60 -1336.783 0.162
198 60 -1334.884 0.209
200 60 -1333.370 0.287
202 60 -1332.012 0.302
128 62 -1022.133 0.398
130 62 -1046.656 0.377
132 62 -1069.908 0.380
134 62 -1092.057 0.436
136 62 -1112.935 0.250
138 62 -1133.687 0.183
140 62 -1154.254 0.147
142 62 -1174.921 0.000
144 62 -1195.766 0.000
146 62 -1207.914 0.045
148 62 -1220.921 0.167
150 62 -1234.491 0.204
152 62 -1247.807 0.273
154 62 -1261.161 0.347
156 62 -1273.579 0.336
158 62 -1285.250 0.351
160 62 -1295.820 0.361
162 62 -1305.695 0.360
164 62 -1314.500 0.360
166 62 -1322.331 0.358
168 62 -1329.169 0.388
170 62 -1335.571 0.309
172 62 -1341.652 0.282
174 62 -1347.712 0.258
176 62 -1352.737 0.234
178 62 -1357.060 0.207
180 62 -1361.687 0.160
182 62 -1366.599 0.130
184 62 -1371.588 0.090
186 62 -1377.110 0.000
188 62 -1382.671 0.000
190 62 -1381.688 0.000
192 62 -1380.504 0.000
194 62 -1379.169 0.070
196 62 -1377.767 0.112
198 62 -1376.417 0.168
200 62 -1375.680 0.245
202 62 -1375.258 0.288
204 62 -1374.808 0.303
206 62 -1373.763 0.315
208 62 -1372.219 0.328
132 64 -1046.979 0.372
134 64 -1072.103 0.364
136 64 -1095.170 0.426
138 64 -1116.957 0.260
140 64 -1138.991 0.223
142 64 -1160.817 0.152
144 64 -1182.641 0.000
146 64 -1204.770 0.000
148 64 -1218.167 0.036
150 64 -1232.246 0.167
152 64 -1247.102 0.205
154 64 -1261.719 0.263
156 64 -1276.045 0.343
158 64 -1289.860 0.330
160 64 -1302.880 0.348
162 64 -1314.837 0.356
164 64 -1326.153 0.356
166 64 -1336.343 0.355
168 64 -1345.492 0.348
170 64 -1353.652 0.336
172 64 -1361.286 0.318
174 64 -1368.380 0.299
176 64 -1375.385 0.267
178 64 -1381.204 0.249
180 64 -1386.260 0.221
182 64 -1392.200 0.160
184 64 -1397.938 0.140
186 64 -1403.657 0.100
188 64 -1409.941 0.000
190 64 -1416.455 0.000
192 64 -1416.308 0.000
194 64 -1415.939 0.000
196 64 -1415.350 0.049
198 64 -1414.660 0.116
200 64 -1414.310 0.182
202 64 -1414.641 0.239
204 64 -1414.919 0.276
206 64 -1415.286 0.299
208 64 -1415.144 0.311
210 64 -1414.449 0.318
212 64 -1413.272 0.329
214 64 -1411.875 0.324
136 66 -1072.221 0.361
138 66 -1096.268 0.417
140 66 -1119.006 0.256
142 66 -1142.323 0.222
144 66 -1165.615 0.150
146 66 -1188.109 0.000
148 66 -1211.890 0.000
150 66 -1226.494 0.033
152 66 -1241.796 0.141
154 66 -1257.851 0.203
156 66 -1273.586 0.257
158 66 -1288.848 0.340
160 66 -1303.998 0.323
162 66 -1318.361 0.345
164 66 -1331.713 0.351
166 66 -1344.369 0.351
168 66 -1355.913 0.349
170 66 -1366.447 0.341
172 66 -1375.906 0.334
174 66 -1384.671 0.325
176 66 -1392.986 0.298
178 66 -1401.080 0.280
180 66 -1407.680 0.260
182 66 -1413.494 0.240
184 66 -1420.611 0.170
186 66 -1427.223 0.150
188 66 -1433.702 0.100
190 66 -1440.695 0.000
192 66 -1448.165 0.000
194 66 -1448.851 0.000
196 66 -1449.303 0.000
198 66 -1449.509 0.041
200 66 -1449.657 0.130
202 66 -1450.289 0.191
204 66 -1451.421 0.238
206 66 -1452.541 0.258
208 66 -1453.660 0.290
210 66 -1454.342 0.306
212 66 -1454.532 0.310
214 66 -1454.148 0.319
216 66 -1453.674 0.311
218 66 -1452.538 0.313
220 66 -1451.092 0.315
142 68 -1119.268 0.369
144 68 -1143.853 0.185
146 68 -1168.336 0.160
148 68 -1192.164 0.000
150 68 -1216.924 0.000
152 68 -1232.754 0.080
154 68 -1249.541 0.149
156 68 -1266.770 0.197
158 68 -1283.463 0.249
160 68 -1299.658 0.266
162 68 -1315.879 0.309
164 68 -1331.384 0.336
166 68 -1346.040 0.344
168 68 -1360.052 0.346
170 68 -1372.997 0.344
172 68 -1384.983 0.335
174 68 -1395.750 0.323
176 68 -1405.834 0.309
178 68 -1415.425 0.299
180 68 -1424.710 0.287
182 68 -1432.057 0.267
184 68 -1438.815 0.190
186 68 -1446.910 0.170
188 68 -1454.454 0.150
190 68 -1461.793 0.110
192 68 -1469.519 0.070
194 68 -1477.937 0.000
196 68 -1479.462 0.000
198 68 -1480.723 0.000
200 68 -1481.741 0.042
202 68 -1482.828 0.138
204 68 -1484.408 0.184
206 68 -1486.240 0.228
208 68 -1488.149 0.241
210 68 -1489.958 0.279
212 68 -1491.448 0.299
214 68 -1492.496 0.297
216 68 -1492.949 0.304
218 68 -1493.324 0.303
220 68 -1493.017 0.304
222 68 -1492.421 0.304
224 68 -1491.580 0.307
226 68 -1490.268 0.306
148 70 -1169.451 0.150
150 70 -1194.494 0.018
152 70 -1220.563 0.000
154 70 -1237.548 0.035
156 70 -1255.528 0.147
158 70 -1273.823 0.197
160 70 -1291.458 0.233
162 70 -1308.697 0.253
164 70 -1325.683 0.289
166 70 -1342.160 0.329
168 70 -1358.022 0.340
170 70 -1373.282 0.345
172 70 -1387.579 0.341
174 70 -1400.921 0.332
176 70 -1413.150 0.320
178 70 -1424.622 0.308
180 70 -1435.538 0.300
182 70 -1445.941 0.291
184 70 -1454.092 0.274
186 70 -1461.875 0.180
188 70 -1471.034 0.170
190 70 -1479.605 0.150
192 70 -1488.006 0.110
194 70 -1496.652 0.080
196 70 -1505.891 0.000
198 70 -1508.256 0.000
200 70 -1510.338 0.000
202 70 -1512.154 0.040
204 70 -1514.126 0.137
206 70 -1516.501 0.179
208 70 -1519.037 0.215
210 70 -1521.783 0.230
212 70 -1524.233 0.265
214 70 -1526.421 0.290
216 70 -1528.380 0.284
218 70 -1529.589 0.286
220 70 -1530.829 0.296
222 70 -1531.365 0.295
224 70 -1531.609 0.294
226 70 -1531.612 0.294
228 70 -1531.132 0.291
230 70 -1530.009 0.285
232 70 -1528.423 0.280
234 70 -1526.553 0.270
236 70 -1524.446 0.261
238 70 -1522.114 0.245
240 70 -1519.466 0.234
242 70 -1516.631 0.185
244 70 -1514.413 0.150
246 70 -1511.870 0.130
248 70 -1509.375 0.100
250 70 -1507.128 0.030
252 70 -1505.410 0.000
254 70 -1503.452 0.000
256 70 -1498.362 0.000
152 72 -1195.230 0.000
